Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B0600;2019;Agglomération de Nice-Menton;;;;;;9,5;11,5;13,9;16,7;19,5;13,3;450;544;680;831;1036;724;54;28476;136314;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;;Maison 1-3P;8,3;10,2;13,3;16,4;18,5;12,9;475;580;750;950;1200;786;61;220;7508;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;;Ensemble 4P+;7,5;9,3;11,2;13,2;15,4;11,3;659;800;1000;1247;1553;1071;95;3000;17931;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;;Maison 4P+;7,3;9,5;11,7;14,2;17,2;11,8;750;950;1190;1550;1800;1291;109;373;5839;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;;Appart 1P;12,9;15,3;17,6;20,3;23,3;17,4;388;431;495;547;600;494;28;6578;25990;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;;Appart 2P;10,6;12,5;14,6;16,8;18,9;14,5;488;570;650;721;800;647;45;11172;48177;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;;Appart 3P;8,8;10,7;12,6;14,3;16,1;12,5;570;695;800;920;1069;814;65;7506;36709;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;;Appart 4P+;7,5;9,2;11,1;12,9;15,1;11,2;650;800;980;1200;1415;1024;91;2627;12091;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;;Ensemble 1P;12,9;15,3;17,6;20,3;23,3;17,4;387;431;495;547;600;494;28;6587;26453;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;;Ensemble 2P;10,6;12,5;14,6;16,8;18,9;14,5;488;570;650;722;800;648;45;11225;50658;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;;Ensemble 3P;8,8;10,7;12,6;14,3;16,2;12,5;562;691;800;925;1086;816;65;7664;41273;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;1. Moins de 1 an;;11;13;15;17,6;20,6;14,6;476;560;700;870;1100;751;52;5805;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;1. Moins de 1 an;Ensemble 4P+;8,9;10,7;12,5;14,5;16,2;12,5;780;950;1100;1380;1560;1169;93;543;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;1. Moins de 1 an;Ensemble 1P;14,2;16,3;18,3;21,4;25;18,4;400;450;507;550;610;514;28;1495;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;1. Moins de 1 an;Ensemble 2P;12;13,8;15,4;17,3;19,8;15,4;525;600;675;750;823;677;44;2387;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;1. Moins de 1 an;Ensemble 3P;10;12;13,8;15,1;17,2;13,7;660;750;868;995;1120;880;64;1380;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;2. 1 an et plus;;9,2;11,2;13,5;16,3;19,1;13;443;536;670;820;1011;716;55;22671;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;2. 1 an et plus;Ensemble 4P+;7,1;9;10,8;12,8;15;11;650;800;980;1200;1552;1047;95;2457;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;2. 1 an et plus;Ensemble 1P;12,6;15;17,4;20;22,5;17;378;420;488;542;600;486;29;5092;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;2. 1 an et plus;Ensemble 2P;10,3;12,2;14,3;16,6;18,6;14,2;471;559;639;714;800;638;45;8838;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;2. 1 an et plus;Ensemble 3P;8,5;10,4;12,3;14;16;12,2;537;669;780;904;1051;799;65;6284;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;1. Avant 1946;;;8,5;10,3;13,2;16;19,5;12,5;400;500;615;779;1000;674;54;5908;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;1. Avant 1946;;Ensemble 4P+;6,2;8,4;10,3;12;14,6;10,4;555;750;950;1156;1505;1019;98;741;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;1. Avant 1946;;Ensemble 1P;12;14,6;17,6;20,6;24,7;17,1;350;400;450;515;582;458;27;1324;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;1. Avant 1946;;Ensemble 2P;9,6;11,5;14;16;18,7;13,8;400;500;592;660;741;586;43;2301;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;1. Avant 1946;;Ensemble 3P;7,7;9,4;11,8;13,9;15,9;11,7;487;597;728;850;1000;744;63;1542;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;1. Avant 1946;1. Moins de 1 an;;9,6;11,2;14,5;16,9;20,8;13,5;420;500;640;850;1060;703;52;1112;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;1. Avant 1946;2. 1 an et plus;;8,3;10,1;12,8;15,6;18,9;12,2;400;500;608;761;987;667;55;4796;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;2. Entre 1946-1970;;;9,6;11,2;13;15,5;18,1;12,9;468;570;690;820;1002;723;56;6920;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;2. Entre 1946-1970;;Ensemble 4P+;7,8;9,7;11,4;12,7;14,9;11,3;643;780;950;1175;1400;1001;88;771;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;2. Entre 1946-1970;;Ensemble 1P;12,4;14,2;16,8;19,7;22,5;16,6;388;438;490;538;598;489;30;1533;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;2. Entre 1946-1970;;Ensemble 2P;10,5;12;13,7;15,9;17,5;13,8;500;580;648;716;800;652;47;2495;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;2. Entre 1946-1970;;Ensemble 3P;9,2;10,7;12,1;13,8;15,4;12,2;600;685;780;880;1020;800;66;2121;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;2. Entre 1946-1970;1. Moins de 1 an;;11;12,5;14,3;16,6;19,2;14,2;491;600;744;880;1100;774;54;1160;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;2. Entre 1946-1970;2. 1 an et plus;;9,2;10,9;12,7;15,2;17,7;12,5;460;563;679;801;986;711;57;5760;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;3. Entre 1971-1990;;;9,9;11,9;14,1;16,9;19,8;13,5;465;540;670;828;1015;724;54;7358;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;3. Entre 1971-1990;;Ensemble 4P+;8,3;9,5;11,5;13,3;15;11,6;750;825;1000;1252;1550;1092;95;762;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;3. Entre 1971-1990;;Ensemble 1P;14;15,8;17,7;20,4;23,6;17,7;410;465;509;560;610;518;29;2163;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;3. Entre 1971-1990;;Ensemble 2P;11;12,5;14,1;16,3;18,9;14,2;500;593;660;730;809;659;46;2624;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;3. Entre 1971-1990;;Ensemble 3P;9,1;10,7;12,5;14,1;15,6;12,4;600;700;810;950;1092;832;67;1809;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;3. Entre 1971-1990;1. Moins de 1 an;;11,8;13,5;15,2;18,1;21,4;15;485;540;674;840;1100;738;49;1525;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;3. Entre 1971-1990;2. 1 an et plus;;9,5;11,5;13,6;16,5;19,2;13,1;460;540;670;827;1000;720;55;5833;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;4. Entre 1991-2005;;;10,7;12,7;15;17,5;20;14,4;490;600;720;904;1160;784;54;3621;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;4. Entre 1991-2005;;Ensemble 4P+;9;10,3;12;14,1;17,4;12,5;800;1000;1101;1393;1646;1201;96;339;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;4. Entre 1991-2005;;Ensemble 1P;12,8;15,5;18,4;21;23,1;17,8;400;437;502;550;600;502;28;785;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;4. Entre 1991-2005;;Ensemble 2P;12,2;13,9;15,6;17,3;19,3;15,5;550;603;690;755;817;687;44;1638;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;4. Entre 1991-2005;;Ensemble 3P;9,7;11,9;13,9;15,6;17,8;13,7;650;772;900;1038;1200;917;67;859;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;4. Entre 1991-2005;1. Moins de 1 an;;11,4;13,8;15,3;17,9;20;15;516;600;720;905;1160;801;53;769;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;4. Entre 1991-2005;2. 1 an et plus;;10,4;12,4;14,9;17,4;20;14,2;473;600;717;904;1156;778;55;2852;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;5. Après 2005;;;11,1;13,5;15,6;18;20;14,8;488;617;740;865;1050;769;52;4669;136314;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;5. Après 2005;;Ensemble 4P+;7;9,6;12,5;14,5;17;12;724;860;1080;1395;1725;1197;100;387;17931;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;5. Après 2005;;Ensemble 1P;14;16,4;18,2;20,2;21,8;17,9;400;420;495;546;612;502;28;782;26453;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;5. Après 2005;;Ensemble 2P;13,6;15;16,7;18,6;20,2;16,6;571;636;700;770;845;704;42;2167;50658;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;5. Après 2005;;Ensemble 3P;10,4;12,4;13,7;15,5;17,6;13,8;686;770;850;966;1100;875;64;1333;41273;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;5. Après 2005;1. Moins de 1 an;;12,6;14;16,2;18,7;20,6;15,7;510;628;742;870;1020;767;49;1239;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;5. Après 2005;2. 1 an et plus;;10,4;13,2;15,3;17,7;19,6;14,4;477;612;740;860;1080;769;53;3430;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Maison;;;;7,9;10;12,2;15,4;18;12,2;520;700;950;1300;1600;1046;86;593;13347;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Maison;;;Maison 1-3P;;;;;;;;;;;;;;220;;
B0600;2019;Agglomération de Nice-Menton;;Maison;;;Maison 4P+;;;;;;;;;;;;;;373;;
B0600;2019;Agglomération de Nice-Menton;;Maison;;1. Moins de 1 an;;;;;;;;;;;;;;;71;;
B0600;2019;Agglomération de Nice-Menton;;Maison;;1. Moins de 1 an;Maison 1-3P;;;;;;;;;;;;;;25;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Maison;;1. Moins de 1 an;Maison 4P+;;;;;;;;;;;;;;46;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Maison;;2. 1 an et plus;;;;;;;;;;;;;;;522;;
B0600;2019;Agglomération de Nice-Menton;;Maison;;2. 1 an et plus;Maison 1-3P;;;;;;;;;;;;;;195;;
B0600;2019;Agglomération de Nice-Menton;;Maison;;2. 1 an et plus;Maison 4P+;;;;;;;;;;;;;;327;;
B0600;2019;Agglomération de Nice-Menton;;Maison;1. Avant 1946;;;;;;;;;;;;;;;;157;;
B0600;2019;Agglomération de Nice-Menton;;Maison;1. Avant 1946;;Maison 1-3P;;;;;;;;;;;;;;82;;
B0600;2019;Agglomération de Nice-Menton;;Maison;1. Avant 1946;;Maison 4P+;;;;;;;;;;;;;;75;;
B0600;2019;Agglomération de Nice-Menton;;Maison;1. Avant 1946;1. Moins de 1 an;;;;;;;;;;;;;;;15;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Maison;1. Avant 1946;2. 1 an et plus;;;;;;;;;;;;;;;142;;
B0600;2019;Agglomération de Nice-Menton;;Maison;2. Entre 1946-1970;;;;;;;;;;;;;;;;127;;
B0600;2019;Agglomération de Nice-Menton;;Maison;2. Entre 1946-1970;;Maison 1-3P;;;;;;;;;;;;;;48;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Maison;2. Entre 1946-1970;;Maison 4P+;;;;;;;;;;;;;;79;;
B0600;2019;Agglomération de Nice-Menton;;Maison;2. Entre 1946-1970;1. Moins de 1 an;;;;;;;;;;;;;;;16;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Maison;2. Entre 1946-1970;2. 1 an et plus;;;;;;;;;;;;;;;111;;
B0600;2019;Agglomération de Nice-Menton;;Maison;3. Entre 1971-1990;;;;;;;;;;;;;;;;171;;
B0600;2019;Agglomération de Nice-Menton;;Maison;3. Entre 1971-1990;;Maison 1-3P;;;;;;;;;;;;;;53;;
B0600;2019;Agglomération de Nice-Menton;;Maison;3. Entre 1971-1990;;Maison 4P+;;;;;;;;;;;;;;118;;
B0600;2019;Agglomération de Nice-Menton;;Maison;3. Entre 1971-1990;1. Moins de 1 an;;;;;;;;;;;;;;;25;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Maison;3. Entre 1971-1990;2. 1 an et plus;;;;;;;;;;;;;;;146;;
B0600;2019;Agglomération de Nice-Menton;;Maison;4. Entre 1991-2005;;;;;;;;;;;;;;;;91;;
B0600;2019;Agglomération de Nice-Menton;;Maison;4. Entre 1991-2005;;Maison 1-3P;;;;;;;;;;;;;;19;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Maison;4. Entre 1991-2005;;Maison 4P+;;;;;;;;;;;;;;72;;
B0600;2019;Agglomération de Nice-Menton;;Maison;4. Entre 1991-2005;1. Moins de 1 an;;;;;;;;;;;;;;;12;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Maison;4. Entre 1991-2005;2. 1 an et plus;;;;;;;;;;;;;;;79;;
B0600;2019;Agglomération de Nice-Menton;;Maison;5. Après 2005;;;;;;;;;;;;;;;;47;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Maison;5. Après 2005;;Maison 1-3P;;;;;;;;;;;;;;18;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Maison;5. Après 2005;;Maison 4P+;;;;;;;;;;;;;;29;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Maison;5. Après 2005;1. Moins de 1 an;;;;;;;;;;;;;;;3;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Maison;5. Après 2005;2. 1 an et plus;;;;;;;;;;;;;;;44;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;;;;9,6;11,6;14;16,7;19,6;13,4;450;540;670;814;1000;709;53;27883;122967;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;;;Appart 1P;12,9;15,3;17,6;20,3;23,3;17,4;388;431;495;547;600;494;28;6578;25990;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;;;Appart 2P;10,6;12,5;14,6;16,8;18,9;14,5;488;570;650;721;800;647;45;11172;48177;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;;;Appart 3P;8,8;10,7;12,6;14,3;16,1;12,5;570;695;800;920;1069;814;65;7506;36709;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;;;Appart 4P+;7,5;9,2;11,1;12,9;15,1;11,2;650;800;980;1200;1415;1024;91;2627;12091;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;;1. Moins de 1 an;;11;13,1;15;17,6;20,7;14,6;474;555;700;865;1078;743;51;5734;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;;1. Moins de 1 an;Appart 1P;14,2;16,3;18,3;21,4;25;18,4;400;450;507;550;610;514;28;1492;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;;1. Moins de 1 an;Appart 2P;12;13,8;15,4;17,3;19,8;15,4;525;600;675;750;820;676;44;2383;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;;1. Moins de 1 an;Appart 3P;10,2;12,2;13,8;15,1;17,3;13,7;660;750;862;995;1109;877;64;1362;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;;1. Moins de 1 an;Appart 4P+;8,9;10,7;12,4;14,2;16,2;12,5;760;916;1080;1300;1511;1146;92;497;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;;2. 1 an et plus;;9,2;11,3;13,6;16,4;19,1;13,1;440;531;660;800;997;698;53;22149;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;;2. 1 an et plus;Appart 1P;12,7;15;17,4;20;22,6;17;380;420;488;543;600;487;29;5086;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;;2. 1 an et plus;Appart 2P;10,3;12,2;14,3;16,5;18,6;14,2;470;559;637;713;800;638;45;8789;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;;2. 1 an et plus;Appart 3P;8,6;10,5;12,3;14;15,9;12,2;546;671;780;900;1048;798;65;6144;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;;2. 1 an et plus;Appart 4P+;7,2;8,9;10,7;12,5;14,5;10,8;610;778;930;1158;1398;988;91;2130;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;;;8,5;10,5;13,3;16,1;19,8;12,5;400;493;605;760;981;657;52;5751;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;;Appart 1P;12;14,6;17,6;20,6;24,7;17,1;350;400;450;515;582;458;27;1322;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;;Appart 2P;9,6;11,6;14;16;18,7;13,7;400;500;592;660;740;585;43;2275;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;;Appart 3P;7,6;9,4;11,8;13,9;15,6;11,8;487;597;725;850;1000;739;63;1488;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;;Appart 4P+;6,2;8,3;10,3;12;14,3;10,2;510;740;920;1150;1415;974;95;666;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;1. Moins de 1 an;;9,6;11,4;14,5;17,1;20,9;13,6;409;500;628;817;1002;693;51;1097;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;2. 1 an et plus;;8,4;10,2;12,9;15,7;19;12,3;395;490;600;750;950;647;53;4654;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;;;9,7;11,2;13;15,5;18,1;12,9;466;567;685;808;995;713;55;6793;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;;Appart 1P;12,5;14,3;16,8;19,7;22,5;16,6;394;438;490;537;600;490;30;1530;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;;Appart 2P;10,5;12;13,7;16;17,5;13,8;500;580;646;714;800;650;47;2483;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;;Appart 3P;9,3;10,7;12,1;13,8;15,4;12,2;600;685;780;880;1013;798;66;2088;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;;Appart 4P+;7,8;9,6;11,2;12,5;14,3;11,2;643;766;920;1100;1314;964;86;692;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;1. Moins de 1 an;;11;12,5;14,3;16,7;19,6;14,2;485;598;733;870;1100;762;54;1144;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;2. 1 an et plus;;9,3;11;12,7;15,2;17,7;12,6;460;561;672;800;960;701;56;5649;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;;;10;12;14,2;17;20;13,7;463;538;668;810;1000;710;52;7187;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;;Appart 1P;14;15,8;17,7;20,4;23,6;17,7;410;465;509;560;610;518;29;2162;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;;Appart 2P;11,1;12,5;14,1;16,3;18,9;14,3;500;596;660;730;810;661;46;2616;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;;Appart 3P;9;10,7;12,5;14,1;15,6;12,4;600;703;810;941;1082;831;67;1765;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;;Appart 4P+;8,4;9,7;11,6;13,2;14,9;11,7;750;825;1000;1200;1505;1064;91;644;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;1. Moins de 1 an;;11,9;13,5;15,2;18,1;21,4;15,1;482;540;670;821;1078;729;48;1500;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;2. 1 an et plus;;9,6;11,6;13,8;16,6;19,4;13,3;459;536;661;806;980;704;53;5687;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;;;10,9;12,9;15,1;17,5;20;14,6;490;596;710;898;1100;762;52;3530;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;;Appart 1P;12,8;15,5;18,4;21;23,1;17,8;400;437;502;550;600;502;28;784;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;;Appart 2P;12,2;13,9;15,6;17,3;19,3;15,5;550;603;690;755;817;687;44;1635;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;;Appart 3P;9,7;12,1;14;15,6;17,5;13,8;650;788;900;1036;1200;921;67;844;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;;Appart 4P+;8,8;10,2;11,4;13,9;16,1;12,3;720;900;1084;1323;1600;1151;94;267;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;1. Moins de 1 an;;11,4;13,8;15,3;17,9;20;15;515;600;720;900;1127;795;53;757;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;2. 1 an et plus;;10,5;12,6;15;17,4;20;14,4;472;590;702;883;1066;750;52;2773;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;5. Après 2005;;;11,3;13,6;15,7;18;20,2;14,9;481;611;730;852;1020;751;50;4622;122967;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;5. Après 2005;;Appart 1P;14;16,4;18,2;20,2;21,9;18;400;420;495;546;620;502;28;780;25990;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;5. Après 2005;;Appart 2P;13,6;15;16,6;18,6;20,3;16,6;567;635;700;769;840;702;42;2163;48177;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;5. Après 2005;;Appart 3P;10,4;12,5;13,7;15,3;17,1;13,7;671;770;850;960;1100;869;63;1321;36709;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;5. Après 2005;;Appart 4P+;7,6;9,9;12,5;14,5;16,6;12,1;681;858;1080;1297;1511;1109;92;358;12091;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;5. Après 2005;1. Moins de 1 an;;12,6;14;16,2;18,7;20,7;15,8;510;628;742;870;1010;764;48;1236;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Appartement;5. Après 2005;2. 1 an et plus;;10,5;13,2;15,4;17,7;19,7;14,6;466;606;729;850;1022;745;51;3386;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;;;9,6;11,4;13,6;16,5;19,6;13,2;430;509;642;785;980;682;52;9677;51143;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;;Maison 1-3P;;;;;;;;;;;;;;14;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;;Ensemble 4P+;8,1;9,3;11,3;13,3;15,3;11,3;650;805;980;1240;1526;1053;93;848;5345;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;;Maison 4P+;;;;;;;;;;;;;;18;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;;Appart 1P;12,9;15;17,7;20,8;23,3;17,3;377;420;470;528;585;476;27;2694;11901;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;;Appart 2P;10,3;12,1;13,9;16,1;18,4;13,9;477;551;627;700;779;630;45;3700;18850;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;;Appart 3P;8,6;10,5;12,1;13,8;15,4;12;525;660;763;880;1000;778;65;2421;14262;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;;Appart 4P+;8,1;9,2;11,2;13;14,7;11,2;650;800;963;1200;1415;1025;92;830;4959;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;;Ensemble 1P;12,9;15,1;17,7;20,8;23,3;17,3;377;420;471;527;585;476;27;2695;11973;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;;Ensemble 2P;10,3;12,1;13,9;16,1;18,4;13,9;477;551;627;700;779;630;45;3700;19157;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;;Ensemble 3P;8,6;10,5;12,1;13,9;15,6;12;525;660;763;884;1008;781;65;2434;14669;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;1. Moins de 1 an;;11,4;13,2;15,2;18;21,1;14,8;455;544;685;821;1068;728;49;1861;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;1. Moins de 1 an;Ensemble 4P+;9,2;11,2;13,4;15,3;16,4;13,2;875;950;1100;1390;1570;1206;91;148;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;1. Moins de 1 an;Ensemble 1P;14;16,1;18,9;22,2;27;18,6;395;440;498;544;600;495;27;581;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;1. Moins de 1 an;Ensemble 2P;12,2;13,5;15,1;17,3;19,4;15,1;535;610;670;730;793;672;44;746;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;1. Moins de 1 an;Ensemble 3P;10,2;11,8;13,9;15,2;17,4;13,7;655;750;850;982;1100;858;63;386;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;2. 1 an et plus;;9,2;11,1;13,3;16,1;19,1;12,8;421;500;630;775;957;671;52;7816;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;2. 1 an et plus;Ensemble 4P+;7,5;9;10,8;12,7;14,2;10,9;600;780;950;1199;1499;1017;93;700;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;2. 1 an et plus;Ensemble 1P;12,7;14,7;17,4;20;22,5;17;372;415;465;518;580;470;28;2114;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;2. 1 an et plus;Ensemble 2P;10;11,9;13,5;15,8;17,9;13,6;458;542;612;690;768;618;45;2954;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;Ville centre;;;2. 1 an et plus;Ensemble 3P;8,3;10;11,8;13,5;15,2;11,7;525;647;750;853;1000;765;65;2048;;Estimation directe
