
NUM;DATE;JACKPOT;N1;N2;N3;N4;N5;E1;E2;NBJEU;EU1;EU2;EU3;EU4;EU5;EU6;EU7;EU8;EU9;EU10;EU11;EU12;NB1;NB2;NB3;NB4;NB5;NB6;NB7;NB8;NB9;NB10;NB11;NB12;MT1;MT2;MT3;MT4;MT5;MT6;MT7;MT8;MT9;MT10;MT11;MT12;
1471;2021-10-26;40000000;12;15;20;42;44;1;2;19006433;0;3;6;23;745;1115;1232;16605;26132;58287;87663;394546;0;0;1;8;125;237;273;3351;5781;12487;17671;87589;0,00;181891,50;21255,50;1727,10;98,20;69,30;44,10;16,30;11,60;9,60;7,70;5,40;
1470;2021-10-22;30000000;12;17;22;33;39;2;12;25028024;0;2;12;26;865;1471;2286;20875;36139;96218;102778;505361;0;0;1;5;147;341;453;4541;7910;20514;22601;112399;0,00;359277,20;13994,80;2011,80;111,30;69,20;31,30;17,10;11,00;7,70;8,70;5,60;
1469;2021-10-19;17000000;4;20;36;40;41;1;6;18888665;0;4;5;27;447;981;996;15725;20587;47669;90618;327664;0;0;2;10;88;203;198;3362;4149;9620;19826;70045;0,00;135573,40;25348,50;1462,10;162,60;78,30;54,20;17,10;14,60;11,70;7,40;6,50;
1468;2021-10-15;220000000;21;26;31;34;49;2;5;65739684;1;7;13;97;1630;4413;3579;68202;82993;178081;384869;1290335;1;1;3;21;369;993;773;15516;18662;39959;89948;296467;220000000,00;4608445,70;33931,70;1416,40;155,20;60,60;52,50;13,70;12,60;10,90;6,10;5,70;
1467;2021-10-12;220000000;6;13;22;45;49;10;11;54781392;0;9;25;78;1567;3035;3971;44764;70710;178170;237961;1020988;0;2;6;21;418;680;1066;9797;16821;44422;52240;244587;0,00;1315699,90;14703,30;1467,80;134,50;73,40;39,40;17,50;12,30;9,10;8,20;6,00;
1466;2021-10-08;202000000;1;10;23;42;46;3;5;52346368;0;9;23;78;1547;4027;3194;62333;72563;151970;343913;1094972;0;1;7;18;360;1026;785;15355;17928;38760;84600;271879;0,00;166984,90;15271,40;1402,60;130,20;52,90;46,80;12,00;11,50;10,20;5,40;5,40;
1465;2021-10-05;178000000;11;13;14;36;45;7;9;36009160;0;1;4;61;978;2802;2054;44193;50287;100508;235077;783281;0;0;0;20;221;790;472;12128;12392;24393;64809;199504;0,00;1033822,90;60405,30;1233,70;141,70;52,30;50,10;11,60;11,40;10,60;5,50;5,20;
1464;2021-10-01;163000000;1;15;19;26;48;6;12;42480670;0;7;16;54;1267;2540;3003;36320;54580;137241;190019;798724;0;2;1;19;326;653;774;9376;13636;34530;48807;199506;0,00;174231,40;17815,30;1644,10;129,00;68,00;40,40;16,70;12,40;9,10;8,00;6,00;
1463;2021-09-28;143000000;6;7;12;33;39;1;7;31413850;0;4;1;47;964;2467;2137;37666;49107;103133;188980;725287;0;1;1;11;232;666;464;10404;12491;24650;51260;185226;0,00;225472,90;210786,90;1396,90;125,40;51,80;42,00;11,90;10,20;9,00;5,90;4,90;
1462;2021-09-24;130000000;2;12;20;27;41;10;12;45132567;0;5;13;51;1327;2540;3929;36399;58376;165561;187120;804602;0;1;4;7;354;573;1088;8529;14623;43486;42739;195539;0,00;259151,20;23295,30;1849,50;130,90;72,30;32,80;17,70;12,30;8,00;8,60;6,30;
1461;2021-09-21;49000000;20;25;26;30;38;2;8;19147998;0;2;3;30;621;1692;1168;24791;26134;56056;136014;388839;0;1;0;5;116;356;231;5024;4915;10537;27838;76441;0,00;274869,50;42827,60;1333,90;118,70;46,00;46,80;11,00;11,60;10,10;5,00;5,50;
1460;2021-09-17;39000000;5;7;8;10;34;1;9;24252915;0;2;13;62;887;2384;2032;29898;40330;96460;141575;551567;0;1;4;17;232;567;486;6865;8970;22221;30640;119531;0,00;348150,60;12518,20;817,50;105,20;41,40;34,10;11,50;9,50;7,40;6,10;4,90;
1459;2021-09-14;26000000;12;18;35;38;45;2;8;17186356;0;3;1;24;475;1384;1019;21603;22064;47353;119659;334955;0;0;1;10;108;286;184;4343;4441;9254;24622;67621;0,00;164473,40;115320,40;1496,60;139,20;50,50;48,20;11,30;12,40;10,70;5,10;5,80;
1458;2021-09-10;0;1;6;7;18;28;2;8;22171136;0;5;16;86;1028;2859;2343;36393;40988;92523;163738;531205;0;2;4;19;278;712;612;8426;9666;22143;35940;119706;0,00;127306,60;9298,00;538,80;83,00;31,50;27,00;8,70;8,60;7,10;4,80;4,70;
1457;2021-09-07;26000000;7;19;35;42;43;7;9;17404240;1;3;7;41;654;1719;1271;24562;27743;50390;121431;396556;0;0;2;9;133;387;242;5384;5398;9636;26789;78982;26572332,00;166558,50;16683,20;887,10;102,40;41,20;39,10;10,10;10,00;10,20;5,10;4,90;
1456;2021-09-03;0;5;7;13;29;35;3;7;22980381;0;12;7;114;1349;4933;2062;57297;52470;86583;228457;630803;0;2;2;25;336;1059;472;12380;12011;18561;48893;137477;0,00;54980,50;22028,30;421,30;65,50;18,90;31,80;5,70;6,90;7,80;3,60;4,10;
1455;2021-08-31;64000000;5;13;17;32;43;2;10;19225806;3;2;12;32;720;1348;1859;18459;29147;73331;91842;398312;1;0;3;7;141;263;357;3856;5898;14488;18734;78831;21214762,00;275986,40;10750,40;1255,60;102,80;58,00;29,50;14,80;10,50;7,70;7,50;5,40;
1454;2021-08-27;53000000;2;3;31;46;50;8;12;24830195;0;0;6;29;514;1212;1287;18015;26816;64454;98442;420407;0;0;0;11;75;199;207;3039;4551;10811;17307;74628;0,00;0,00;146580,90;1789,40;185,90;83,30;55,10;19,70;14,70;11,40;9,00;6,60;
1453;2021-08-24;39000000;19;21;36;44;50;3;10;17853853;0;1;4;14;513;1088;1101;15634;28240;56666;87604;337024;0;0;0;2;90;196;198;2899;4619;9755;16815;60492;0,00;512584,10;29949,80;2665,30;133,90;66,70;46,30;16,30;10,00;9,30;7,30;6,00;
1452;2021-08-20;29000000;3;9;19;20;23;9;11;22897934;0;6;12;42;1309;1844;2801;23380;46025;106470;106081;554276;0;2;1;6;328;397;672;4283;9975;23939;18670;113383;0,00;109566,60;12803,70;1139,40;67,30;50,50;23,30;14,00;7,90;6,30;7,70;4,60;
1451;2021-08-17;0;12;31;41;42;47;4;6;16656585;0;1;6;17;396;1062;879;16616;19110;40811;97577;298416;0;0;1;0;59;213;140;3686;3500;7493;22087;58108;0,00;478210,50;18627,60;2047,70;161,90;63,80;54,10;14,30;13,90;12,10;6,10;6,30;
1450;2021-08-13;110000000;6;12;44;47;49;8;12;38645110;1;5;3;44;935;2008;2148;30340;45411;108054;164079;698112;0;1;0;6;228;466;502;7099;10874;26559;37865;169364;113156128,00;221900,20;86436,20;1835,60;159,10;78,30;51,40;18,20;13,50;10,60;8,40;6,20;
1449;2021-08-10;94000000;9;37;47;48;49;2;7;22557692;0;0;5;27;541;1464;1159;24538;27053;57882;146686;414997;0;0;0;4;98;291;172;5146;5307;10775;33007;82829;0,00;0,00;159798,60;1746,10;160,50;62,70;55,60;13,10;13,20;11,50;5,50;6,10;
1448;2021-08-06;84000000;7;14;21;26;32;4;12;27611862;0;8;17;34;1156;1663;3552;22313;43955;121748;113718;548208;0;0;4;6;202;346;629;4108;8435;23675;20886;109472;0,00;99092,00;10898,50;1697,30;91,90;67,50;22,20;17,60;10,00;6,70;8,70;5,70;
1447;2021-08-03;71000000;17;21;23;45;46;7;11;20196251;0;3;7;28;570;1367;1262;21882;28177;59138;108734;424487;0;0;1;4;110;260;210;3976;5357;10975;20795;83601;0,00;193278,10;19359,50;1507,50;136,40;60,10;45,70;13,10;11,40;10,10;6,60;5,30;
1446;2021-07-30;62000000;10;23;33;35;37;5;10;25360451;0;2;10;37;829;1766;1737;24831;34600;77234;131983;502696;0;0;0;5;149;281;306;4323;6227;14756;23972;94069;0,00;364049,20;17016,80;1432,50;117,70;58,40;41,70;14,60;11,60;9,70;6,90;5,70;
1445;2021-07-27;48000000;5;9;19;21;25;10;12;18216485;0;4;22;29;701;1136;3077;14194;26730;101650;68940;336665;0;1;5;7;172;229;713;2687;5679;22622;12757;68461;0,00;130748,80;5556,00;1312,80;100,00;65,20;16,90;18,30;10,80;5,30;9,50;6,10;
1444;2021-07-23;39000000;23;24;26;34;50;2;4;22935588;0;0;7;32;527;1459;1203;22745;29694;62673;128849;469135;0;0;1;5;96;275;210;4489;5542;11215;26140;90208;0,00;0,00;116054,00;1497,90;167,50;63,90;54,50;14,40;12,30;10,80;6,40;5,50;
1443;2021-07-20;26000000;3;12;19;41;48;6;9;16747628;0;4;5;28;495;1445;1131;20443;24133;51440;106277;357031;0;1;0;5;93;306;234;4262;5092;10649;21348;73592;0,00;120206,10;22475,30;1250,00;130,20;47,10;42,30;11,70;11,00;9,60;5,60;5,30;
1442;2021-07-16;17000000;5;16;42;47;49;3;11;21567135;0;5;4;28;544;1262;1144;18008;25421;56981;100104;390232;0;2;0;4;109;253;218;3423;4878;11242;19710;74960;0,00;123838,40;36178,80;1609,80;152,60;69,50;53,90;17,10;13,50;11,20;7,70;6,20;
